,x,y,label
0,9.705603,74.94493,[CLS]
1,7.202618,67.87012,harry
2,-8.787911,71.099014,potter
3,-54.104797,5.7469425,and
4,38.544147,42.790188,the
5,-8.457032,71.35781,sorcerer
6,-25.208115,-74.59135,'
7,38.535347,42.79982,s
8,38.544037,42.788254,stone
9,7.346424,-54.40662,chapter
10,7.135015,-54.061714,one
11,53.009453,-1.997336,the
12,5.3999243,43.797215,boy
13,-3.168984,36.314945,who
14,0.93160695,11.394123,lived
15,41.4442,52.71294,mr
16,-59.74743,51.35257,.
17,-55.483734,11.868374,and
18,38.350792,54.968166,mrs
19,-59.695812,51.590557,.
20,30.957035,-71.112526,du
21,41.91897,-62.878883,##rs
22,56.907295,-34.559387,##ley
23,-61.96252,-26.85935,","
24,21.61138,-6.5085845,of
25,50.53841,16.632431,number
26,31.68039,8.12424,four
27,-61.96315,-26.790947,","
28,41.629105,-29.623983,pri
29,41.44394,-27.59976,##vet
30,39.567802,27.86895,drive
31,-60.43641,-45.54005,","
32,-14.941779,22.853241,were
33,-26.656872,4.9668384,proud
34,-21.878212,7.20493,to
35,-20.834639,-19.452227,say
36,-23.69401,-19.13567,that
37,-7.3318653,23.402994,they
38,-15.213045,22.755772,were
39,-10.518216,-26.463476,perfectly
40,0.3746495,15.042942,normal
41,-56.635994,-35.269604,","
42,-10.120788,-36.482567,thank
43,-10.009346,-36.420696,you
44,-8.483332,-35.801605,very
45,-9.889868,-36.37948,much
46,-26.29589,-74.31888,.
47,-7.3538847,23.43651,they
48,-15.193419,22.780027,were
49,55.898384,-3.491836,the
50,-7.7220497,12.332707,last
51,-4.161096,18.902119,people
52,-41.40479,-21.535048,you
53,-25.438183,-74.496704,'
54,-42.674225,35.210594,d
55,-28.595669,6.411851,expect
56,-22.209293,7.045646,to
57,-23.301392,0.82309616,be
58,-0.24114262,-6.282351,involved
59,0.74813324,-6.2225003,in
60,-9.117528,-12.0032835,anything
61,-3.6907847,-11.300624,strange
62,-62.48123,-4.990834,or
63,-3.6650338,-11.1736965,mysterious
64,-64.22566,-33.924515,","
65,-50.472164,-2.9910622,because
66,-7.1824675,23.082272,they
67,-47.160286,12.395416,just
68,-33.916637,23.16411,didn
69,-25.837542,-74.39621,'
70,-38.887165,21.20754,t
71,3.6413436,4.775008,hold
72,2.695761,-4.2956977,with
73,-41.967815,-14.853519,such
74,-4.879764,-8.616036,nonsense
75,-26.32514,-74.312935,.
76,41.63513,52.82753,mr
77,-57.973576,51.747223,.
78,31.115385,-71.21793,du
79,41.858185,-62.903225,##rs
80,56.71274,-34.715282,##ley
81,-19.312716,27.124397,was
82,51.39616,2.196983,the
83,47.23073,16.905584,director
84,19.430017,-8.579832,of
85,11.313254,-12.353463,a
86,47.66331,17.138395,firm
87,-6.855994,33.034405,called
88,25.98236,8.502092,gr
89,25.902592,8.441338,##un
90,25.940765,8.4922905,##ning
91,48.01935,17.276829,##s
92,-64.597374,-32.891987,","
93,-38.48106,-5.352007,which
94,48.083614,17.394648,made
95,28.879833,17.369614,drills
96,-63.663525,30.322817,.
97,-5.4032297,42.806858,he
